,Game,Price,Genres,IGN_score,Release Date,Player Sentiment,Positive Reviews [%],No. of Reviews
230,Sword Art Online: Alicization Lycoris,39.99," Action, Adventure, RPG",5.0,2020-07-09,Mixed,0.62,4177
231,F1 2020,44.99," Racing, Simulation, Sports",9.0,2020-07-09,Very Positive,0.94,25017
232,Hunting Simulator 2,13.99," Action, Adventure, Simulation, Sports, Strategy",7.0,2020-07-16,Mixed,0.64,365
233,Trackmania,25.99, Racing,7.0,2008-04-16,Very Positive,0.94,1701
234,Borderlands 3: Bounty of Blood DLC,7.91," Action, RPG",9.0,2020-06-25,Mixed,0.49,522
235,Torchlight 3,30.99," Action, Adventure, RPG",6.0,2020-10-13,Mixed,0.47,9299
236,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,24.99," Action, Adventure, Casual",5.0,2020-06-23,Overwhelmingly Positive,0.95,9629
237,Disintegration,24.99," Action, Adventure",6.0,2020-06-16,Mixed,0.59,168
238,Desperados 3,44.99, Strategy,8.0,2020-06-16,Overwhelmingly Positive,0.96,6875
239,Those Who Remain,15.99," Adventure, Indie",6.0,2020-05-28,Mostly Positive,0.7,344
240,Mortal Kombat 11: Aftermath,34.99, Action,7.0,2020-05-26,Mostly Positive,0.79,399
241,Minecraft Dungeons,16.74," Action, Adventure, RPG",7.0,2021-09-22,Very Positive,0.91,4488
242,Maneater,33.99," Action, Adventure, Indie, RPG",7.0,2021-05-25,Very Positive,0.9,6959
243,Saints Row 3 Remastered,34.99," Action, Adventure",7.0,2021-05-21,Mixed,0.62,1398
244,Deep Rock Galactic,24.99, Action,9.0,2020-05-13,Overwhelmingly Positive,0.97,113028
245,TT Isle of Man: Ride on the Edge 2,11.24," Racing, Simulation, Sports",7.0,2020-03-19,Very Positive,0.81,517
246,The Wonderful 101: Remastered,39.99," Action, Adventure",9.0,2020-05-19,Very Positive,0.85,369
247,Them's Fightin' Herds,15.49," Action, Indie",8.0,2020-05-01,Very Positive,0.93,2480
248,Someday You'll Return,15.49," Adventure, Indie",5.0,2020-05-05,Very Positive,0.84,429
249,Streets of Rage 4,22.49," Action, Indie",7.0,2020-04-30,Very Positive,0.92,12593
250,SnowRunner,25.99," Adventure, Simulation",8.0,2021-05-18,Very Positive,0.87,10123
251,Predator: Hunting Grounds,34.99, Action,5.0,2021-04-29,Mostly Positive,0.79,1407
252,Gears Tactics,34.99, Strategy,8.0,2020-04-28,Mostly Positive,0.76,5301
253,XCOM: Chimera Squad,16.99, Strategy,7.0,2020-04-24,Mostly Positive,0.72,17659
254,Moving Out,19.99," Action, Casual, Indie, Simulation",8.0,2020-04-28,Very Positive,0.8,1019
255,Trials of Mana,39.99, RPG,8.0,2020-04-24,Very Positive,0.92,3760
256,Mount & Blade II: Bannerlord,39.99," Action, RPG, Simulation, Strategy, Early Access",8.0,2020-03-30,Very Positive,0.87,149762
257,Resident Evil 3 Final,32.99, Action,9.0,2020-04-03,Mostly Positive,0.78,36995
258,Totally Reliable Delivery Service,11.99," Action, Adventure, Casual, Indie, Racing, Simulation",6.0,2021-04-01,Mostly Positive,0.79,408
259,"Borderlands 3: Guns, Love, and Tentacles DLC",7.91," Action, RPG",7.0,2020-03-26,Mixed,0.65,764
260,Doom Eternal,34.99, Action,9.0,2020-03-20,Very Positive,0.91,136239
261,Half-Life: Alyx,46.49," Action, Adventure",10.0,2020-03-23,Overwhelmingly Positive,0.98,61777
262,Sea of Thieves (2020),34.99," Action, Adventure",8.0,2020-06-03,Very Positive,0.9,196814
263,Temtem,31.99," Adventure, Indie, Massively Multiplayer, RPG, Early Access",7.0,2020-01-21,Very Positive,0.86,26661
264,Black Mesa,14.99," Action, Adventure, Indie",8.0,2020-03-06,Overwhelmingly Positive,0.95,76936
265,Murder by Numbers,11.99," Adventure, Indie",8.0,2020-03-06,Very Positive,0.87,787
266,Ori and the Will of the Wisps,24.99, Action,9.0,2020-03-11,Overwhelmingly Positive,0.96,81179
267,Wolcen: Lords of Mayhem,30.99," Action, Adventure, Indie, RPG",5.0,2020-02-13,Mixed,0.56,57340
268,Bleeding Edge,24.99, Action,7.0,2020-03-24,Mixed,0.68,1412
269,Mega Man Zero/ZX Legacy Collection,24.99," Action, RPG",8.0,2020-02-25,Mostly Positive,0.79,1180
270,Monster Energy Supercross -- The Official Videogame 3,24.99," Racing, Simulation, Sports",7.0,2020-02-04,Very Positive,0.87,734
271,The Walking Dead: Saints and Sinners,30.99," Action, Adventure, Indie, RPG, Simulation, Strategy",9.0,2020-01-23,Very Positive,0.89,5617
272,Kentucky Route Zero,18.99," Adventure, Indie",8.0,2013-02-22,Very Positive,0.82,2214
273,Journey to the Savage Planet,24.99," Action, Adventure",6.0,2021-01-28,Very Positive,0.88,3555
274,Darwin Project,0.0," Action, Free to Play, Indie",6.0,2020-01-14,Very Positive,0.81,18460
275,Dragon Ball Z: Kakarot,49.99," Action, RPG",7.0,2020-01-16,Very Positive,0.92,24826
276,AO Tennis 2,13.99, Sports,7.0,2020-01-09,Mixed,0.69,786
277,Borderlands 3: Moxxi's Heist of The Handsome Jackpot DLC,7.91," Action, RPG",7.0,2020-03-13,Very Positive,0.89,471
278,Star Wars Battlefront 2 (2019),34.99," Action, Adventure",8.8,2017-11-16,Very Positive,0.87,32067
279,Wattam,15.49," Adventure, Casual, Indie",8.0,2020-12-18,Very Positive,0.85,306
